PlayerName,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Pace,DEff,DvP,L2FGA,L5FGA,SFGA,L2Min,L5Min,SMin,L5FP,SFP,Floor,Ceil,ProjMin,ProjFP,ProjVal,Min,FP,Value
Tyus Jones,NA,None,PG/SG,3500,MIN,POR,1,106,12,14,99,102,-9,3,2,3,15,14,17,10.6,12.6,2.3,23,14,10.3,2.9,10.7,7.5,2.1
Noah Vonleh,NA,None,PF/C,3500,POR,@MIN,1,102,10,12,98,108,-6,2,2,3,9,10,19,6.8,14.8,5.4,24.1,0,0,0,0,0,0
Guillermo Hernangomez,NA,None,PF/C,3500,NYK,@CHA,1,99,NA,NA,101,104,-6,8,6,4,13,16,11,20.9,12.3,3.7,21,0,0,0,5.4,4.5,1.3
Jamal Crawford,NA,None,SG,3500,MIN,POR,1,106,24,13,99,102,-5,6,7,8,17,18,18,14.2,14.9,7.6,22.2,18,13.9,4,22.8,29.3,8.4
Jerami Grant,NA,None,SF/PF,3500,OKC,DEN,1,108,15,15,100,107,-7,6,5,6,17,17,21,12.3,16.8,9.5,24.1,21.5,16.3,4.7,25,13.3,3.8
DeAndre' Bembry,NA,None,SG/SF,3500,ATL,MIA,2,102,19,5,98,104,-8,3,4,6,17,19,19,9.3,12.9,4.3,21.5,20,14.2,4.1,17.5,12,3.4
Joe Johnson,3,None,SG/SF,3500,UTA,@HOU,1,103,NA,NA,102,102,6,8,6,7,22,19,20,9.8,12.5,6.8,18.2,28,20.1,5.7,28.6,18.8,5.4
Daniel Theis,NA,None,PF/C,3500,BOS,@IND,1,105,17,15,100,106,7,2,3,3,7,11,12,9.1,11.8,4.1,19.5,12.5,12.3,3.5,16.9,10,2.9
Alex Abrines,NA,None,SG/SF,3500,OKC,DEN,1,108,13,8,100,107,1,4,7,4,13,25,18,15.6,9.5,2.2,16.7,16.5,9.9,2.8,13.7,20.8,5.9
Shabazz Muhammad,NA,None,SG/SF,3400,MIN,POR,1,106,17,9,99,102,-5,1,2,4,4,7,11,5.8,7.3,1.6,12.9,0,0,0,0,0,0
Patrick Patterson,NA,None,PF/C,3400,OKC,DEN,1,108,10,8,100,107,0,5,4,3,20,16,14,14.4,8.2,2.3,14.1,22.5,14.5,4.3,21.7,3.3,1
Ivica Zubac,NA,None,C,3400,LAL,GSW,3,106,NA,NA,103,101,3,0,1,1,2,2,2,1.4,1.3,-0.5,3.2,0,0,0,0,0,0
Jerryd Bayless,NA,None,PG/SG,3400,PHI,@CHI,2,106,15,9,99,107,4,5,6,7,18,22,26,13.7,16.2,9.6,22.9,18,11.8,3.5,20.9,20.3,6
Maurice Harkless,NA,None,SF/PF,3400,POR,@MIN,1,102,11,9,98,108,-2,1,2,5,11,10,22,6.5,12.8,6.2,19.5,0,0,0,0,0,0
Dragan Bender,NA,None,SF/PF,3400,PHO,@DAL,1,101,12,8,97,106,-3,8,6,5,29,23,22,14.9,13.7,7,20.3,24.5,16.4,4.8,29,10.5,3.1
Nick Young,NA,None,SG,3400,GSW,@LAL,3,112,18,14,105,103,3,6,5,5,11,14,13,10.3,10.8,2,19.5,13,9.6,2.8,18.2,12.5,3.7
Damyean Dotson,NA,None,SG/SF,3400,NYK,@CHA,1,99,NA,NA,101,104,2,3,4,3,10,16,9,9,5.8,-1.6,13.1,0,0,0,11.7,11,3.2
Semi Ojeleye,NA,None,SG/SF,3400,BOS,@IND,1,105,9,5,100,106,7,3,3,3,12,16,14,7.3,6.3,1.6,10.9,13,6.9,2,14.7,8.3,2.4
Malik Monk,NA,None,PG/SG,3400,CHA,NYK,1,107,21,7,99,105,-3,3,4,7,7,11,16,5.8,11.3,1.5,21.2,0,0,0,3.4,3.5,1
Zach Collins,1,None,PF/C,3400,POR,@MIN,1,102,NA,NA,98,108,1,7,7,4,17,20,11,17.5,7.6,-1.1,16.3,14,10.4,3.1,21.1,16.8,4.9
Luke Babbitt,NA,None,SF/PF,3400,ATL,MIA,2,102,14,12,98,104,-8,4,4,6,15,18,20,11.3,13.8,5.6,22,16.5,10.3,3,4.7,0,0
Patrick McCaw,4,None,PG/SF,3400,GSW,@LAL,3,112,11,11,105,103,3,1,2,3,23,18,14,10.2,8.3,-0.4,16.9,27.5,17.8,5.2,23.1,14.3,4.2
Michael Carter-Williams,NA,None,PG,3400,CHA,NYK,1,107,18,8,99,105,10,3,3,5,16,16,17,11.3,13.5,6.1,20.9,16,13.4,3.9,15,12.8,3.8
Shane Larkin,NA,None,PG,3400,BOS,@IND,1,105,17,10,100,106,-2,5,4,4,15,15,11,12.8,8,0.1,16,12.5,9.8,2.9,12,10.3,3
Pat Connaughton,NA,None,SG/SF,3300,POR,@MIN,1,102,13,10,98,108,6,4,5,5,19,19,20,9.3,11.6,4.3,18.9,18.5,11,3.3,5.2,2,0.6
Joakim Noah,NA,None,C,3300,NYK,@CHA,1,99,NA,NA,101,104,-6,2,2,2,6,6,6,9.6,9.6,3.4,15.8,0,0,0,6.7,7.5,2.3
